Time (s),X (m),Y (m)
63,0.496507828315515,1.53363385829816
63.2,0.498433401512415,1.53260117546776
63.4,0.503491852419515,1.53685183026616
63.6,0.510918833957419,1.54624199896966
63.8,0.519836511168322,1.56013416191796
64,0.529278565414614,1.57743742939766
64.2,0.538298824308825,1.59668178693566
64.4,0.545943630524718,1.61611860522096
64.6,0.551347501374721,1.63385832635946
64.8,0.553763798605416,1.64803166082986
65,0.552642199942426,1.65697374268446
65.2,0.547768323711324,1.65938684748116
65.4,0.539269846716024,1.65446089751096
65.6,0.527620061330026,1.64191959182396
65.8,0.513588946580015,1.62200178448516
66,0.498090566570625,1.59541304112436
66.2,0.482186859168422,1.56327111627706
66.4,0.467056364343819,1.52704691659706
66.6,0.453892211906918,1.48847807127416
66.8,0.443868816546214,1.44944220689376
67,0.437969221883819,1.41180177499876
67.2,0.436884770068417,1.37723217400566
67.4,0.440931037036819,1.34706720430066
67.6,0.450015379246722,1.32217472112006
67.8,0.463602539335824,1.30288504672626
68,0.48080072459932,1.28898414622776
68.2,0.500490776465114,1.27977004757936
68.4,0.521425170460418,1.27415623243886
68.6,0.542335143340324,1.27079854997096
68.8,0.562043433650217,1.26823838665266
69,0.579583665910519,1.26503271589316
69.2,0.594189988614915,1.25987714952516
69.4,0.605401172872121,1.25170178016316
69.6,0.613050920862918,1.23973941723656
69.8,0.617253960162117,1.22356500436016
70,0.618456319774921,1.20310315570226
70.2,0.617311563356822,1.17859633036486
70.4,0.614612634231321,1.15052671472096
70.6,0.61114926383442,1.11951135773926
70.8,0.607604035843423,1.08621460624736
71,0.604530880375819,1.05132025486806
71.2,0.602440865538824,1.01555164303986
71.4,0.601883372904027,0.979688194142856
71.6,0.603406554466915,0.944539040101557
71.8,0.60746759074722,0.910891978396656
72,0.614406875215025,0.879474946380057
72.2,0.624394894930418,0.850943351624157
72.4,0.637456193624615,0.825874652450057
72.6,0.653427322632823,0.804727224090456
72.8,0.671882448059421,0.787760172193057
73,0.692115241251116,0.774968328589058
73.2,0.713171422435423,0.766057545796357
73.4,0.734004035615925,0.760470924089656
73.6,0.753539353140127,0.757412194612059
73.8,0.770687729027316,0.755860061340457
74,0.784337193341315,0.754608518419158
74.2,0.793374428415717,0.752360625340657
74.4,0.796831313310321,0.747869677988955
74.6,0.793973870994023,0.740088732103956
74.8,0.784402474396018,0.728284111935157
75,0.768090757872116,0.712105695643459
75.2,0.745457678669524,0.691620944510255
75.4,0.717339124958926,0.667311578441257
75.6,0.684970182854315,0.640016206854156
75.8,0.649843660216121,0.610823571508956
76,0.613540094931523,0.580945467008057
76.2,0.577598115236214,0.551624535234257
76.4,0.543460988988514,0.524074176635455
76.6,0.512370325278923,0.499405593440656
76.8,0.485160142518723,0.478523944458257
77,0.462146748382324,0.462020306564856
77.2,0.443096586595615,0.450122051211658
77.4,0.427365889252116,0.442733330293557
77.6,0.414126080258626,0.439499226889158
77.8,0.40250421045252,0.439848687683156
78,0.391568475420215,0.443001056405858
78.2,0.38037158960492,0.447998056682255
78.4,0.368027445858218,0.453788463503557
78.6,0.353862986454914,0.459357877285857
